,Artist name,Title of Artwork,Artwork type,Auction,Location,Closed date,Currency,low Estimate,high Estimate,Price realised,Details,Website link
1,CLAUDE MONET,le bassin aux nymphéas,Impressionist & Modern Art,Sotheby's,New York,12 May 2021 ,USD,,,70353000,"Property from a Distinguished Private Collection, New York Claude Monet 1840 - 1926 Le Bassin aux nymphéas ﻿ Bears the signature Claude Monet (lower right) Oil on canvas 39⅜ by 79 in. 100 by 200 cm Painted in 1917-19. This work will be included in the forthcoming Monet Digital Catalogue Raisonné, currently being prepared under the sponsorship of the Wildenstein Plattner Institute, Inc. 知名紐約私人收藏 克勞德・莫內 1840 - 1926年 《睡蓮池》 款識：具藝術家簽名樣式 * Claude Monet（右下）  油彩畫布 39 3/8 x 79 英寸 100 x 200 公分",https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-evening-sale/le-bassin-aux-nympheas-2
2,CLAUDE MONET,"la seine à lavacourt, débâcle",Impressionist & Modern Art,Sotheby's,New York,12 May 2021 ,USD,6000000,8000000,,"In Search of the Sublime: Property from an Important Private Collection Claude Monet 1840 - 1926 La Seine à Lavacourt, débâcle ﻿ Signed Claude Monet and dated 81 (lower left) Oil on canvas 23¾ by 39⅛ in. 60.2 by 99.4 cm Painted in 1880. 探求崇高之道：重要私人收藏 克勞德・莫內 1840 - 1926年 《拉瓦古的塞納河，冰裂》  款識：藝術家簽名Claude Monet並紀年81（左下） 油彩畫布 23 3/4 x 39 1/8 英寸 60.2 x 99.4 公分",https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-evening-sale/la-seine-a-lavacourt-debacle-2
3,CLAUDE MONET,"monet | autograph letter signed (''claude monet''), to the painter ferdinand deconchy, giverny, 1902",Books & Manuscripts,Sotheby's,London,13–27 April 2021 ,GBP,700,900,2772,"Monet, Claude Autograph letter signed (''Claude Monet''), to Ferdinand Deconchy, 18 June 1902 in French, assuring him how much he and his wife are looking forward to seeing him at Giverny, arranging to meet him at the train arriving at Vernon at 9h30 on Sunday morning, assuring him that his friend Saleron (?) will also be most welcome, and asking him to convey his best wishes to Madame Deconchy 1 page, 8vo, printed stationery (""Giverny, par Vernon, Eure""), framed and glazed with the original envelope, stamped and postmarked, Giverny, 18 June 1902 The landscape painter Ferdinand Deconchy (1859-1946) owned a house at Gasny, only a few miles from Giverny. His sister Isabelle married the architect Louis Bonnier. PROVENANCE: Sotheby's, 7 December 2000, lot 151",https://www.sothebys.com/en/buy/auction/2021/collection-of-a-connoisseur-history-in-manuscript-part-2/monet-autograph-letter-signed-claude-monet-to-the
4,CLAUDE MONET,"monet | autograph letter to his wife, about degas and frits thaulow, pourville-sur-mer, 24 march 1896",Books & Manuscripts,Sotheby's,London,13–27 April 2021 ,GBP,1200,1800,4410,"Monet, Claude Autograph letter to his wife Alice signed (""...pour toi ma femme cherie, ton vieux Claude Monet""), 24 March 1896 telling her that, only just arrived at Pourville, near Dieppe, he is already at work on three canvases, and that the weather is superb; he reports his arrival, his lack of sleep, getting up at six o'clock, and reflects on the previous day's dinner in Paris before his departure, which was only marred by the absence of Degas, which has puzzled him; he also tells her that he travelled to Pourville with the Norwegian painter Frits Thaulow,  1 page, 8vo, framed and glazed, Pourville-sur-Mer (Dieppe), 24 March 1896 Claude Monet painted the cliffs at Pourville in Normandy more than once, including a canvas in 1882 (now in Chicago) and another in 1896 (in a private collection). Frits Thaulow (1847-1906) lived in France from 1892 until his death, mainly outside Paris in places like Montreuil-sur-Mer, Dieppe and the surrounding villages, where he met Claude Monet in 1896. PROVENANCE: Sotheby's, 7 December 2000, lot 149; Sotheby's, 28 May 1986, lot 206; Sotheby's 25 May 1976, lot 357.",https://www.sothebys.com/en/buy/auction/2021/collection-of-a-connoisseur-history-in-manuscript-part-2/monet-autograph-letter-to-his-wife-about-degas-and
5,CLAUDE MONET,"paysage, environs du havre",Impressionist & Modern Art,Sotheby's,London,19–26 March 2021 ,GBP,250000,350000,402200,"Claude Monet1840 - 1926Paysage, environs du Havresigned Cl. M. and dated 78 (lower right)pastel on paper mounted on the artist's board24.2 by 31.7cm., 9½ by 12½in.Framed: 39.5 by 46.5cm., 15½ by 18¼in.Executed in 1878.",https://www.sothebys.com/en/buy/auction/2021/impressionist-modern-art-day-sale-3/paysage-environs-du-havre
6,CLAUDE MONET,"vernon, soleil",Impressionist & Modern Art,Sotheby's,New York,8 December 2020 ,USD,4000000,6000000,4739000,"Property from the Brooklyn Museum, Sold to Support Museum CollectionsClaude Monet1840 - 1926Vernon, soleilSigned Claude Monet and dated 94 (lower left)Oil on canvas25⅞ by 36½ in.65.7 by 92.7 cmPainted in 1894. ",https://www.sothebys.com/en/buy/auction/2020/impressionist-modern-contemporary-art-an-evening-sale/vernon-soleil
7,CLAUDE MONET,côte de basse-normandie,Impressionist & Modern Art,Sotheby's,New York,10–19 November 2020 ,USD,80000,120000,,"Property from the Collection of Dr. Barbara Morgan, LouisianaClaude Monet1840 - 1926Côte de Basse-NormandieStamped Claude Monet (on the mount)Black chalk on paper mounted on paperSheet: 7 1/8 by 11 3/4 in. (18.1 by 29.8 cm)Mount: 10 3/4 by 14 1/4 in. (27.3 by 36.2 cm)Framed: 17 1/2 by 21 in. (44.4 by 53.3 cm)Executed circa 1864. ",https://www.sothebys.com/en/buy/auction/2020/highlights-from-impressionist-modern-art-day-sale/cote-de-basse-normandie
8,CLAUDE MONET,claude monet | les îles à port-villez,Impressionist & Modern Art,Sotheby's,New York,28 October 2020 ,USD,2500000,3500000,4618000,"Property from the Brooklyn Museum, Sold to Support Museum CollectionsCLAUDE MONET1840 - 1926LES ÎLES À PORT-VILLEZSigned Claude Monet. and dated 97 (lower left)Oil on canvas32⅞ by 39½ in.83.5 by 100.4 cmPainted in 1897. ",https://www.sothebys.com/en/buy/auction/2020/impressionist-modern-art-evening-sale-2/claude-monet-les-iles-a-port-villez
9,CLAUDE MONET,waterloo bridge ,Impressionist & Modern Art,Sotheby's,London,5 February 2020 ,GBP,400000,600000,819000,,https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-day-sale-l20004/lot.374.html
10,CLAUDE MONET,"13 lettres autographes signées à gustave geffroy. giverny, 4 février 1891-28 avril 1916.",Books & Manuscripts,Sotheby's,Paris,18 November 2019 ,EUR,12000,15000,15000,"24 pages in-8 (env. 190 x 125 mm), à l’encre violette ou au crayon, 7 à en-tête imprimés Giverny par Vernon. Eure. Enveloppes autographes. Avec 2 autres enveloppes, adressées au même. Belle correspondance à son ami, l’historien et critique d’art Gustave Geffroy. Installé à Giverny, Monet se rend parfois à Paris pour ses affaires mais aime à recevoir des amis comme Gustave Geffroy, fidèle et fervent admirateur. Il demande des nouvelles et en donne des siennes, citant plusieurs membres de sa famille, comme Germaine, la fille aînée d’Alice, son fils Jean qui épouse Blanche Hoschedé en juin 1897, ou encore Suzanne, une autre de ses belles-filles, devenue Mme Butler. Monet évoque aussi des amis proches comme Octave Mirbeau ou Georges Clemenceau, le marchand Durand-Ruel et le peintre Félix Bracquemond. En 1912, il annonce qu’il souffre de cataracte et, quelques mois après le début de la guerre, confie avec émotion que ses petites recherches de formes et de couleurs ""pendant que tant de gens souffrent et meurent pour nous"", le rendent parfois honteux. 4 février [18]91. Se rendant à Paris le lendemain, il lui propose un rendez-vous chez l’architecte Chauvet, rue Bargier. ""Le soir c’est notre dîner Bellier, Caillebotte, etc"" et il pense passer au siège de La Justice (journal où travaille Geffroy) vers 6 heures du soir. b 15 février [18]91. Durand-Ruel lui a rendu visite : ""Durand m’a enlevé bien des toiles je lui ai refusé le bloc du rocher de la Creuse"". -- 13 avril [18]91. Comptant aller voir Mirbeau, il souhaite que Geffroy se joigne à eux en le rejoignant la veille à Giverny. -- 18 avril [18]91. Il le remercie pour le sympathique dimanche qu’ils ont passé ensemble, avec Bracquemond, auquel il va d’ailleurs écrire. -- 11 septembre [18]95. Il réclame de ses nouvelles et sa venue à Giverny : ""je suis un peu beaucoup découragé, ayant passé un bien triste été sans donner un coup de pinceau, à cause d’événements et de tracas, de malades à soigner"". -- 6 juin [18]97. Ne craignant pas de froisser son ami, il lui explique qu’il ne peut le convier au repas de mariage de Jean et de Blanche, seule la famille sera présente en raison de l’état de santé de Mme Butler (Suzanne Hoschedé qui a épousé en 1892 le peintre américain Théodore Earl Butler), cependant les amis sont conviés à venir prendre le café. -- 7 février [18]99. Il annonce le décès de sa belle-fille Suzanne, ""morte hier soir au moment où sa pauvre mère était subitement prise d’une grave bronchite qu’elle avait attrapé à Moret en plus Germaine également malade […] quelle terrible chose que la fin de la vie, je suis bien malheureux"". -- 28 avril 1905. Il l’attendra à la gare de Vernon le 1er mai : ""Apportez votre cidre et la donation Manet"". -- 26 juillet 1912. Il annonce le diagnostic de la cataracte qui le frappe : ""Maintenant ce sont mes yeux qui ne voient pas. Il y a 3 jours me mettant au travail, j’ai constaté avec terreur que je ne voyais plus rien de l’œil droit. J’ai tout planté là pour aller bien vite me faire examiner par un spécialiste, qui m’a déclaré que j’avais la cataracte, et que l’autre œil était légèrement atteint aussi"". On l’a assuré qu’après l’opération, il reverrait mais il se dit très tourmenté et inquiet. En post-scriptum, il ajoute avoir vu Mirbeau et reçu une affectueuse lettre de Clemenceau. -- 1er décembre 1914. Il demande la date du déjeuner Goncourt afin de ne faire qu’un seul trajet vers Paris où il a des affaires à régler. ""Je me suis remis au travail, c’est encore le meilleur moyen, de ne pas trop penser aux tristesses actuelles bien que j’ai un peu honte de penser à de petites recherches de formes et de couleurs pendant que tant de gens souffrent et meurent pour nous"". -- 14 septembre 1915. Il réclame des nouvelles, ayant appris l’accident survenu à Geffroy. ""Ici ça va toujours bien et j’ai d’assez bonnes nouvelles des absents. Pour moi je suis encore en plein travail, très surmené par des mois de travail ininterrompu, il est temps que l’été finisse pour me reposer un peu"". -- 28 avril 1916. Il a reçu la visite d’un photographe, M. Moreau ""à qui j’ai montré le jardin et de la peinture. Il a pris force photographies enfin je crois qu’il est parti satisfait"". Journaliste, critique d'art, historien, romancier, un des membres fondateurs de l'Académie Goncourt, devenu en 1908 directeur de la manufacture des Gobelins, Gustave Geffroy (1855-1926) avait fait la connaissance de Monet en 1886, à Belle-île où il s’était rendu pour enquêter sur Auguste Blanqui et les prisons sous Napoléon III. Dans l’hommage admiratif qu’il lui consacre en 1922, il raconte : ""Claude Monet était venu là pour peindre. […] La poignée de mains que nous échangeâmes scella notre amitié pour toujours. J'avais, en effet, écrit déjà quelques articles, depuis six ans, sur les expositions où se présentaient ensemble les peintres décriés de l'impressionnisme, et notamment sur une exposition particulière qu'avait faite Claude Monet, dans un appartement du boulevard de la Madeleine, n° 9, où l'on vit aussi Boudin, Renoir, Pissarro, Sisley. Je m'étais pris de passion pour l'œuvre de Monet, méconnue et honnie, assaillie de mépris, de sarcasmes, de toutes les sottes plaisanteries dont l'ignorance et l'intérêt accablent les œuvres originales"" (Claude Monet : sa vie, son œuvre, Paris, 1922).",https://www.sothebys.com/en/auctions/ecatalogue/2019/livres-et-manuscrits-pf1913/lot.38.html
