,Artist name,Title of Artwork,Artwork type,Auction,Location,Closed date,Currency,low Estimate,high Estimate,Price realised,Details,Website link
1,PABLO PICASSO,nu couché et tête de femme,Impressionist & Modern Art,Sotheby's,New York,9 November 2023 ,USD,400000,600000,952500,The Emily Fisher Landau Collection: An Era Defined Pablo Picasso 1881 - 1973 ﻿Nu couché et tête de femme signed and dated 9.10.69. (lower right) pencil on paper 21⅜ by 27⅞ in. 54.3 by 70.8 cm. Executed on 9 October 1969.,https://www.sothebys.com/en/buy/auction/2023/the-emily-fisher-landau-collection-an-era-defined-day-auction/nu-couche-et-tete-de-femme-2
2,PABLO PICASSO,femme à la montre,Impressionist & Modern Art,Sotheby's,New York,8 November 2023 ,USD,,,139363500,Pablo Picasso (1881 - 1973) Femme à la montre signed Picasso (upper left); inscribed Boisgeloup and dated 17 Août XXXII. (on the stretcher) oil on canvas 51 ⅛ by 38 ⅛ in. 130 by 97 cm. Executed on 17 August 1932.,https://www.sothebys.com/en/buy/auction/2023/the-emily-fisher-landau-collection-an-era-defined-evening-auction/femme-a-la-montre-2
3,PABLO PICASSO,jacqueline au chapeau noir (b. 1028; ba. 1311),Prints,Sotheby's,New York,18–24 October 2023 ,USD,70000,100000,127000,"Property from an Important Private East Coast Collection Pablo Picasso 1881 - 1973 Jacqueline au chapeau noir (B. 1028; Ba. 1311) signed in pencil and numbered 22/50 linoleum cut printed in colors on Arches wove paper image: 25⅛ by 20⅝ in. 639 by 524 mm. sheet: 29½ by 24½ in. 751 by 621 mm. Executed in 1962, published in 1963; this work is number 22 from the edition of 50 plus 35 artist's proofs, published by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/jacqueline-au-chapeau-noir-b-1028-ba-1311
4,PABLO PICASSO,"sculpteur et sculpture, from sable mouvant (b. 1187; ba. 1156)",Prints,Sotheby's,New York,18–24 October 2023 ,USD,4000,6000,8255,"Pablo Picasso 1881 - 1973 Sculpteur et Sculpture, from Sable Mouvant (B. 1187; Ba. 1156) signed in pencil and numbered 13/50 aquatint on Auvergne wove paper plate: 15 by 10¾ in. 382 by 274 mm. sheet: 22¾ by 18¼ in. 577 by 463 mm. Executed in 1965; this impression is number 13 from the edition of 50.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/sculpteur-et-sculpture-from-sable-mouvant-b-1187
5,PABLO PICASSO,portrait de jacqueline au chapeau de paille multicolore (b. 1074; ba. 1283),Prints,Sotheby's,New York,18–24 October 2023 ,USD,50000,70000,,"Pablo Picasso 1881 - 1973 Femme au Chapeau (Portrait de Jacqueline au Chapeau de Paille Multicolore) (B. 1074; Ba. 1283) signed in pencil and inscribed épreuve d'artiste linoleum cut printed in colors on Arches wove paper image: 13⅝ by 9½ in. 346 by 243 mm. sheet: 24⅜ by 17½ in. 619 by 444 mm. Executed in 1962; this impression is one of approximately 20 artist's proofs aside from the numbered edition of 50, published by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/portrait-de-jacqueline-au-chapeau-de-paille
6,PABLO PICASSO,"le repas frugal, from saltimbanques (bloch 1; baer 2)",Prints,Sotheby's,New York,18–24 October 2023 ,USD,30000,50000,27940,"Pablo Picasso 1881 - 1973 Le Repas Frugal, from Saltimbanques (Bloch 1; Baer 2) etching on wove paper plate approx.: 18¼ by 14⅞ in. 463 by 377 mm. sheet approx.: 18¾ by 15¼ in. 477 by 387 mm. Executed in 1904, printed in 1913; this impression is presumably from the edition of 250 on Van Gelder (there are also 27 or 29 on vieux japon), published by Vollard.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/le-repas-frugal-from-saltimbanques-bloch-1-baer-2
7,PABLO PICASSO,portrait de jacqueline accoudée (b. 922; ba. 1240),Prints,Sotheby's,New York,18–24 October 2023 ,USD,100000,150000,139700,"Pablo Picasso 1881 - 1973 Portrait de Jacqueline Accoudée (B. 922; Ba. 1240) signed in pencil and inscribed épreuve d'artiste linoleum cut printed in colors on wove paper image: 25 by 21 in. 638 by 532 mm. sheet: 29½ by 24½ in. 751 by 622 mm. Executed in 1959; this impression is an artist's proof aside from the numbered edition of 50, published by Galerie Louise Leiris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/portrait-de-jacqueline-accoudee-b-922-ba-1240
8,PABLO PICASSO,"sculptures et vase de fleurs, from the vollard suite (b. 189; ba. 348)",Prints,Sotheby's,New York,18–24 October 2023 ,USD,7000,10000,10795,"Pablo Picasso 1881 - 1973 Sculptures et vase de fleurs, from the Vollard suite (B. 189; Ba. 348) signed in pencil etching and aquatint on Montval laid paper with the Vollard watermark plate: 10½ by 7½ in. 267 by 190 mm. sheet: 17⅝ by 13⅜ in. 449 by 340 mm. Executed in 1933; this impression from the total edition of 310, published by Vollard.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/sculptures-et-vase-de-fleurs-from-the-vollard
9,PABLO PICASSO,étude de profils (b. 581; m. 132),Prints,Sotheby's,New York,18–24 October 2023 ,USD,6000,8000,12065,Pablo Picasso 1881 - 1973 Étude de profils (B. 581; M. 132) signed in pencil and numbered 4/50 lithograph printed on Arches paper image: 28 by 21 in. 710 by 534 mm. sheet: 29⅞ by 22¼ in. 758 by 566 mm. Executed in 1948; this impression is number 4 from the edition of 50 plus five artist's proofs.,https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/etude-de-profils-b-581-m-132
10,PABLO PICASSO,visage de marie-thérèse (b. 95; ba. 243; m. xxiii),Prints,Sotheby's,New York,18–24 October 2023 ,USD,40000,60000,50800,"Pablo Picasso 1881 - 1973 Visage de Marie-Thérèse (B. 95; Ba. 243; M. XXIII) signed in pencil and numbered 120/200 lithograph on Japan paper image: 8 by 5½ in. 202 by 139 mm. sheet: 10⅜ by 7⅜ in. 263 by 188 mm. Executed in 1928; this impression is number 120 from the edition of 200 (total edition is 325), published by G. Crès et Cie, Paris.",https://www.sothebys.com/en/buy/auction/2023/prints-multiples-4/visage-de-marie-therese-b-95-ba-243-m-xxiii
